Date,close
2015-10-12,22.239042282104492
2015-10-13,22.239042282104492
2015-10-14,22.239042282104492
2015-10-15,22.239042282104492
2015-10-16,22.371477127075195
2015-10-19,22.371477127075195
2015-10-20,22.371477127075195
2015-10-21,22.371477127075195
2015-10-22,22.548921585083008
2015-10-23,22.548921585083008
2015-10-26,22.777578353881836
2015-10-27,22.777578353881836
2015-10-28,23.271976470947266
2015-10-29,23.219003677368164
2015-10-30,23.113061904907227
2015-11-02,23.113061904907227
2015-11-03,23.113061904907227
2015-11-04,23.113061904907227
2015-11-05,23.042436599731445
2015-11-06,23.060094833374023
2015-11-09,23.060094833374023
2015-11-10,22.91794776916504
2015-11-11,22.91794776916504
2015-11-12,22.91794776916504
2015-11-13,22.444744110107422
2015-11-16,22.559513092041016
2015-11-17,22.559513092041016
2015-11-18,22.559513092041016
2015-11-19,22.936494827270508
2015-11-20,22.936494827270508
2015-11-23,22.936494827270508
2015-11-24,22.998289108276367
2015-11-25,23.351438522338867
2015-11-27,23.351438522338867
2015-11-30,23.351438522338867
2015-12-01,23.271976470947266
2015-12-02,23.271976470947266
2015-12-03,23.271976470947266
2015-12-04,23.271976470947266
2015-12-07,23.271976470947266
2015-12-08,23.271976470947266
2015-12-09,23.271976470947266
2015-12-10,23.271976470947266
2015-12-11,23.271976470947266
2015-12-14,23.271976470947266
2015-12-15,23.271976470947266
2015-12-16,23.271976470947266
2015-12-17,23.271976470947266
2015-12-18,22.857357025146484
2015-12-21,22.857357025146484
2015-12-22,22.857357025146484
2015-12-23,22.857357025146484
2015-12-24,22.857357025146484
2015-12-28,22.857357025146484
2015-12-29,22.857357025146484
2015-12-30,22.857357025146484
2015-12-31,22.857357025146484
2016-01-04,22.857357025146484
2016-01-05,22.857357025146484
2016-01-06,22.58271598815918
2016-01-07,22.58271598815918
2016-01-08,22.58271598815918
2016-01-11,22.58271598815918
2016-01-12,22.58271598815918
2016-01-13,22.58271598815918
2016-01-14,21.7587890625
2016-01-15,21.7587890625
2016-01-19,22.07772445678711
2016-01-20,22.07772445678711
2016-01-21,21.5284423828125
2016-01-22,21.5284423828125
2016-01-25,21.5284423828125
2016-01-26,21.5284423828125
2016-01-27,21.5284423828125
2016-01-28,21.555015563964844
2016-01-29,21.944835662841797
2016-02-01,21.944835662841797
2016-02-02,21.70563316345215
2016-02-03,21.70563316345215
2016-02-04,21.70563316345215
2016-02-05,21.04117774963379
2016-02-08,21.04117774963379
2016-02-09,21.04117774963379
2016-02-10,20.952577590942383
2016-02-11,20.952577590942383
2016-02-12,20.775386810302734
2016-02-16,21.236082077026367
2016-02-17,21.236082077026367
2016-02-18,21.53730010986328
2016-02-19,21.53730010986328
2016-02-22,21.900531768798828
2016-02-23,21.900531768798828
2016-02-24,21.900531768798828
2016-02-25,21.900531768798828
2016-02-26,21.900531768798828
2016-02-29,21.900531768798828
2016-03-01,21.900531768798828
2016-03-02,21.900531768798828
2016-03-03,21.900531768798828
2016-03-04,22.281494140625
2016-03-07,22.281494140625
2016-03-08,22.281494140625
2016-03-09,22.281494140625
2016-03-10,22.281494140625
2016-03-11,22.281494140625
2016-03-14,22.281494140625
2016-03-15,22.281494140625
2016-03-16,22.281494140625
2016-03-17,22.440963745117188
2016-03-18,22.440963745117188
2016-03-21,22.440963745117188
2016-03-22,22.440963745117188
2016-03-23,22.440963745117188
