ticker,live_start,live_end,comparison_start,comparison_end,live_cagr,spy_same_window_cagr,beta_market,beta_momentum,alpha,synth_mu,synth_sigma,u1,u15,u2,median,p05,constrained,common_live_cagr,common_fit_gamma15
SPMO,2015-10-13,2026-07-31,2015-12-02,2026-07-31,0.1868043700508785,0.145258499575158,0.968894669415931,0.3149547472291983,0.0333166087026856,0.1295157426640024,0.1885171506872527,2.1,1.5,1.1,2.2,1.0,1.4,0.1868802430284262,1.4
MTUM,2013-04-19,2026-07-31,2015-12-02,2026-07-31,0.1533307029058163,0.145258499575158,1.0522991944626234,0.3938229981749406,-0.0080703191709031,0.136592943241777,0.19066700910794,2.1,1.5,1.1,2.0,1.0,1.4,0.15396222316008595,1.4
PDP,2007-03-02,2026-07-31,2015-12-02,2026-07-31,0.1161664898102697,0.145258499575158,1.098480134939973,0.282769146830721,-0.0273412713569329,0.129049158181577,0.1988061108061893,1.8,1.2,1.0,1.8,1.0,1.3,0.11687727931219334,1.3
QMOM,2015-12-03,2026-07-31,2015-12-03,2026-07-31,0.11287161861914,0.1464220669032342,1.1506681065402136,0.4954883862474672,-0.0454824012206675,0.1471562288137916,0.2466980544022836,1.6,1.0,1.0,1.6,1.0,1.1,0.11287161861914004,1.0
MMTM,2012-10-26,2026-07-31,2015-12-02,2026-07-31,0.1348887427756072,0.145258499575158,0.8774768135852802,0.1414924642212011,0.0043354803161691,0.1084110209139267,0.1719047155423138,2.1,1.4,1.0,2.1,1.0,1.5,0.1348126509514277,1.4
DWAQ,2014-02-20,2020-02-14,2014-02-20,2020-02-14,0.1151606977813677,0.1297648578326168,1.0349986242547462,0.2921950816981272,-0.0165740031190285,0.1288282317541413,0.2175085116398792,1.8,1.1,1.0,1.8,1.0,1.2,,
DUDE,2020-12-30,2023-11-16,2020-12-30,2023-11-16,-0.0744508435250656,0.0841200282479917,0.7320398584252249,0.3210124138998408,-0.1232916994420387,0.1044993477918101,0.1749108771357779,1.9,1.3,1.0,1.9,1.0,1.5,,
LETB,2022-02-09,2023-10-19,2022-02-09,2023-10-19,-0.0521730866202472,-0.0168660650485213,0.1104344097096206,0.0361553457866725,-0.0811603780076879,0.039778231220233,0.0464452324223861,1.0,1.0,1.0,1.0,0.6,1.0,,
