leverage,median_terminal_vs_contributed,median_worst_vs_contributed,p05_worst_vs_contributed,cagr_p05,cagr_p25,cagr_median,cagr_p75,cagr_p95,cagr_mean,median_max_drawdown,worst_5pct_max_drawdown,prob_ruin,prob_dd_over_50,prob_dd_over_70,prob_beat_unlevered,median_margin_calls
1.0,3.0630649191244723,0.9025847671841367,0.619754584474815,0.016663132962336395,0.07529298734041684,0.1184475358795668,0.16330143406325964,0.22656953072129696,0.12012174575310991,-0.338507774551599,-0.5339871980734685,0.0,0.084,0.00075,0.0,0.0
1.25,3.379619312876044,0.8588402387363134,0.5031653521197832,0.0007366667172870612,0.0746293040755362,0.12950141065683596,0.18659006548554063,0.2681114742248462,0.13189760176658671,-0.42056226473408787,-0.6445571071679438,0.0,0.272,0.02075,0.7385,0.0
1.5,3.653460432326823,0.8137634715403061,0.39101541082353447,-0.017324944422819708,0.07170881354859088,0.13833591398271272,0.20854144145351644,0.30940449985217827,0.14183268982469624,-0.49844677276823757,-0.7345197768660887,0.0,0.49525,0.08175,0.70875,0.0
1.75,3.854828437372399,0.7606003494890309,0.29957962805030847,-0.03806487867160288,0.0664169392016487,0.1444596967965378,0.2292204146150893,0.3509479732939931,0.14976016040568788,-0.5701800080654603,-0.8084339829349623,0.0,0.6985,0.19775,0.68575,0.0
2.0,3.9863538360474506,0.7064350690334826,0.21735764008129393,-0.06247586730294604,0.05704686409272375,0.1483058682685522,0.24738063006139543,0.3915674488226329,0.1551884391153434,-0.634490765928606,-0.8697430464157447,0.0,0.83325,0.3345,0.661,0.0
2.25,4.017688193986669,0.6466179067561483,0.15201740930116145,-0.09012997134405515,0.0444013023471847,0.14920530637344176,0.2629023040158616,0.42981255304303684,0.15720435946231806,-0.6933057715280893,-0.9129578354473737,0.0,0.922,0.487,0.62975,0.0
2.5,3.9423055610914015,0.586256651563024,0.10448376756225378,-0.1209790193298106,0.02826427768914308,0.1470306243657289,0.2735141382249042,0.4672333461273673,0.15602974557599186,-0.74667134749167,-0.9436234926233726,0.0,0.9685,0.61475,0.5965,1.0
2.75,3.681463639646653,0.5196852333128814,0.06992327442266441,-0.15597782337389984,0.008717305145783782,0.13920544322060868,0.28207027074995117,0.4978058445063581,0.1505947179363643,-0.7945173048673293,-0.9651994488042802,0.0,0.98525,0.7335,0.5585,3.0
3.0,3.3965428643135107,0.45547534067502377,0.04631212299618246,-0.1882109917868291,-0.01207157028611719,0.13006572100555747,0.2872543332453034,0.52528488634737,0.14405333514493798,-0.8319157146078594,-0.9778973290705287,0.0,0.99425,0.8175,0.52875,11.0
