leverage,terminal_multiple,cagr,vol,sharpe_naive,max_drawdown,calmar,ulcer_index,worst_day,longest_underwater_days,wiped_out,rebalance,interest_paid,interest_pct_of_start,monthly_contribution,liquidation_cost,margin_calls,ruin_day,max_leverage_reached
1.0,45.374064595012086,0.12035989063763108,0.19082570478286354,0.6307320639773663,-0.5407185236854567,0.22259250490860946,14.06764949396107,-0.15353688199036142,1655,False,monthly,0.0,0.0,0.0,0.0,0,-1,1.0
1.25,81.87052772482488,0.14023276404590823,0.24088299292108187,0.5821613321279652,-0.6326927463051435,0.22164433663077734,18.209596418335103,-0.19533829858668794,1771,False,monthly,258035.47123001915,2.5803547123001915,0.0,0.0,0,-1,1.3596802084543074
1.5,142.99167058809732,0.1593333657420084,0.29233525796264037,0.5450364312961893,-0.708604774760172,0.22485505519763813,22.210654828312226,-0.2386481114024166,1795,False,monthly,727085.6957183561,7.27085695718356,0.0,0.0,0,-1,1.7883859738891623
1.75,238.12441396066748,0.17708217850278074,0.34554609025652483,0.512470502477164,-0.7750560298836967,0.22847661546398565,26.34040407062439,-0.28354698930986777,3295,False,monthly,1543476.2929105328,15.434762929105329,0.0,0.0,0,-1,2.3082110928627473
2.0,376.7813406579902,0.19328353664252562,0.4010193513696568,0.4819805727139542,-0.8363765299014355,0.2310963181442974,30.933698369019925,-0.3301290646919801,3390,False,monthly,2859796.4553106898,28.597964553106898,0.0,0.0,0,-1,2.951684980482285
2.25,565.9943312326338,0.2078370613740952,0.45948892875498376,0.4523222397049777,-0.8833256132784505,0.23528929564570292,35.382431372206085,-0.3784906572578096,3459,False,monthly,4810925.950483878,48.10925950483878,0.0,0.0,0,-1,3.768882282974326
2.5,707.2960490309121,0.21588296346152536,0.5165223020516497,0.41795477679091214,-0.9251703187671941,0.23334402226521192,40.34491402760393,-0.42881438431990204,3677,False,monthly,6632831.43465454,66.3283143465454,0.0,933.3076854486726,6,-1,4.0
2.75,738.941639964577,0.2174694241751325,0.5643284710393889,0.38535965370415204,-0.9558214151065839,0.22752097906373275,45.89722839269836,-0.48155262975150004,4254,False,monthly,7641241.4085563645,76.41241408556364,0.0,3035.680966135176,14,-1,4.0
3.0,720.9067539040044,0.21657356966731056,0.6099735527378369,0.35505403258097096,-0.9735988827634653,0.22244640323804363,51.47127621822722,-0.5162904868306386,4410,False,monthly,8216281.906867141,82.16281906867141,0.0,11051.702579879657,33,-1,4.0
