block_days,p05_optimal,median_optimal,p05_cagr_at_1_5x
5,1.0,2.28321366802085,-0.020007218790674422
10,1.0,2.227404311821014,-0.017316154654849147
21,1.0,2.1493166235596197,-0.019467095211988177
42,1.0,2.156560115718144,-0.01680855804151518
63,1.0,2.145290799823268,-0.027390489226819508
