sample,mu_arith,sigma,borrow_rate,kelly_gaussian,kelly_empirical,half_kelly_empirical
SPMO 2015-2026 (live only),0.19653770070888193,0.20394989199472774,0.0513,3.4916636809217674,3.292378630372425,1.6461893151862126
"1926-2026, alpha believed",0.15937922700601648,0.18937659413066324,0.0513,3.013627890994495,2.920604002802777,1.4603020014013885
"1926-2026, alpha zeroed",0.1295157426640024,0.18938019408688944,0.0513,2.1808462996025493,2.131915726066534,1.065957863033267
