leverage,terminal_multiple,cagr,vol,sharpe_naive,max_drawdown,calmar,ulcer_index,worst_day,longest_underwater_days,wiped_out,rebalance,interest_paid,interest_pct_of_start,monthly_contribution,liquidation_cost,margin_calls,rebalances,traded_notional,rebalance_cost_paid,ruin_day,ruin_deficit,terminal_net_equity,withdrawals_paid,withdrawal_failures,final_leverage,max_leverage_reached
1.0,6.758384697739536,0.1919708926322985,0.2039498919947277,0.9412649879572436,-0.3094754267514448,0.6203106160880422,7.071836335907398,-0.15353688199036142,487,False,monthly,1.5714502494668276e-12,1.5714502494668277e-17,0.0,0.0,0,131,9.313225746154785e-10,1.8626451492309576e-13,-1,0.0,675838.4697739535,0.0,0,1.0,1.0000000000000002
1.25,9.316790270313858,0.22766303758107775,0.25782857477416266,0.8830015749049247,-0.37957192047794275,0.5997889340560624,9.152243463879113,-0.20224167654518554,491,False,monthly,36569.470948086,0.36569470948085997,0.0,0.0,0,131,508487.9017454672,101.69758034909343,-1,0.0,931679.0270313858,0.0,0,1.242054559584123,1.397483512433248
1.5,12.631474082325076,0.2624893498136214,0.31360864086458046,0.8369965479585336,-0.4465039197117413,0.5878769216249703,11.221555918340005,-0.2564565629095876,538,False,monthly,85645.61328325894,0.8564561328325894,0.0,0.0,0,131,1463918.356191409,292.7836712382819,-1,0.0,1263147.4082325075,0.0,0,1.481007384831202,1.9011951996308654
1.75,16.81105307696408,0.2960946925129826,0.3719959476263446,0.79596214529304,-0.520032293026263,0.5693775107501431,13.299906480099155,-0.3171409387473012,544,False,monthly,151417.6311124821,1.514176311124821,0.0,0.0,0,131,3052432.2183896094,610.486443677922,-1,0.0,1681105.307696408,0.0,0,1.7169267050666237,2.5599334759018775
2.0,21.87764914227881,0.32785619691610335,0.4342116591956255,0.7550607865377337,-0.594220598609944,0.5517415547072164,15.389153193554167,-0.38556496887690217,545,False,monthly,236040.60089166422,2.3604060089166423,0.0,0.0,0,131,5476449.945051339,1095.2899890102676,-1,0.0,2187764.914227881,0.0,0,1.949832318033764,3.4587567330401314
2.25,26.302025022462058,0.3505239443257955,0.4963313860183945,0.7062296566367148,-0.6685873029223799,0.524275502681046,17.706978611560427,-0.4637190150752064,548,False,monthly,324661.1080498805,3.2466110804988046,0.0,85.69962572093411,1,131,8435665.974858347,1687.1331949716698,-1,0.0,2630202.5022462057,0.0,0,2.179837005637636,3.999999999999999
2.5,30.135644456894564,0.3675178331569191,0.5530819018838994,0.6644907958569704,-0.7271862895822137,0.5053970879567423,20.13789776840469,-0.516398113323725,551,False,monthly,414377.6677936529,4.143776677936529,0.0,256.52663347259005,2,131,11860148.175397122,2372.029635079424,-1,0.0,3013564.4456894565,0.0,0,2.4069902867278765,4.0
2.75,36.104188797681,0.39041785667864604,0.6058668602521826,0.6443954642380353,-0.7650360618122105,0.5103260828696463,22.29020644523072,-0.5163985287607389,554,False,monthly,538779.1422023914,5.3877914220239145,0.0,433.536899339907,2,131,16888971.551664717,3377.794310332945,-1,0.0,3610418.8797680996,0.0,0,2.6313354130258824,4.000000000000001
3.0,44.33387733478263,0.41690632167358666,0.6542258034938898,0.6372514190774812,-0.7875381902644737,0.5293791803716589,24.09188854815054,-0.5163982401424998,554,False,monthly,708432.2866494809,7.0843228664948095,0.0,845.3521125132595,8,131,24040163.434294432,4808.032686858885,-1,0.0,4433387.733478263,0.0,0,2.852927190313485,4.000000000000001
