leverage,cagr_p05,cagr_p25,cagr_median,cagr_p75,cagr_p95,cagr_mean,median_max_drawdown,worst_5pct_max_drawdown,prob_ruin,prob_dd_over_50,prob_dd_over_70,prob_beat_unlevered,median_margin_calls
1.0,0.06095456945479874,0.11662719311055669,0.15539055490212172,0.19500113617197606,0.25630741016481057,0.15645969113818195,-0.28775153317658464,-0.4500990682113137,0.0,0.018,0.0,0.0,0.0
1.25,0.05719993483323603,0.1276940768524239,0.17726165064394772,0.22816539174290623,0.30774597730699765,0.17900988505149107,-0.35908793998911115,-0.5500742475634156,0.0,0.1025,0.00275,0.9235,0.0
1.5,0.05151779517518188,0.1368232985202104,0.19768906781010553,0.26082263832278907,0.36043565433934316,0.20043419561986195,-0.4274884628508316,-0.6382855317999823,0.0,0.26775,0.01525,0.90975,0.0
1.75,0.04335558547818191,0.1440159275970162,0.2168964671253648,0.29271689102432186,0.41278742446322403,0.22050525369712912,-0.49226920032620475,-0.7122776019787845,0.0,0.47625,0.06125,0.895,0.0
2.0,0.03303255993784853,0.14921677334990258,0.23521624468343838,0.3229083156713471,0.464425626569356,0.23892732149442408,-0.554677563790325,-0.7751149464324716,0.0,0.6705,0.1365,0.88,0.0
2.25,0.018060944285454746,0.15119566288448116,0.24929992501799947,0.35215612141229435,0.5154467670475862,0.25501248271331867,-0.6118319289451493,-0.8320599306167417,0.0,0.793,0.264,0.85575,0.0
2.5,-0.0011457226139035153,0.1482067486177126,0.2600048329375326,0.37811466053067316,0.5652548384448187,0.26688230874286917,-0.6656438860433811,-0.8769691816627909,0.0,0.875,0.4005,0.82975,0.0
2.75,-0.020948726518183563,0.1415762223878001,0.2687958798118746,0.39896207195208266,0.611840787313482,0.2761025688991293,-0.7101637558729753,-0.9104390660916353,0.0,0.9355,0.53675,0.804,3.0
3.0,-0.04220350429034874,0.13500883557985782,0.273435857364682,0.4169286413923751,0.6523634661453143,0.2836469273467381,-0.7471695275447414,-0.931017472005329,0.0,0.9675,0.648,0.78675,8.0
