seed,p05_optimal_leverage,p05_at_1x,p05_at_1_5x,p05_at_2x,p05_at_3x
20260910,1.0,0.0168280313764187,-0.017463813131036444,-0.0622967682221646,-0.1858461800269445
1,1.0,0.015108529394332567,-0.01901725804729384,-0.06704498744520676,-0.19429506899477175
7,1.0,0.015121642449044194,-0.018650261378185595,-0.06298876094546736,-0.190689481846748
99,1.0,0.014686330588943865,-0.0219996339902753,-0.06852243593063247,-0.19635205119217103
12345,1.0,0.016297690257612463,-0.017043503243310092,-0.06591258604412888,-0.19158284910832685
