statistic,contribution_rate,1.0,1.25,1.5,1.75,2.0,2.5,3.0
median,0.0,425041.9422854496,535811.9646422802,666434.0951839555,816178.9373687065,981813.6420545606,1310596.2642166633,1573080.2577486094
p05,0.0,174260.89979665243,173874.96204773878,168732.34015299633,160979.75901032818,149577.8552313011,112034.60008991968,78268.11303974154
median,0.2,886787.45615773,1072575.2917746254,1293796.5561567424,1546459.1274363443,1829794.625084909,2378043.7957455907,2902406.1875549364
p05,0.2,439162.8116586636,439482.7390947149,436885.84751283453,426514.2338520882,410753.29561367905,350893.16616157733,280150.8501629131
median,0.5,1577568.57334896,1882723.7883424044,2241289.572582254,2638065.972496409,3094599.310554969,3951148.4625531984,4762322.597175326
p05,0.5,829184.1643625664,824963.9004126074,812213.3977536261,794735.1304219546,770000.6130291037,669594.842188366,560412.7093581504
median,0.8,2270637.5427149925,2696420.626415407,3178936.705200859,3731437.9670438506,4359888.280008785,5567039.465266852,6671022.07885699
p05,0.8,1211513.1455171863,1206769.5827466936,1195780.088724602,1171912.378960582,1132733.6386845899,994930.8087683304,845802.5373212141
