leverage,median_terminal_vs_contributed,median_worst_vs_contributed,p05_worst_vs_contributed,cagr_p05,cagr_p25,cagr_median,cagr_p75,cagr_p95,cagr_mean,median_max_drawdown,worst_5pct_max_drawdown,prob_ruin,prob_dd_over_50,prob_dd_over_70,prob_beat_unlevered,median_margin_calls
1.0,5.770642273763518,0.9373464420814723,0.7196425032270352,0.08179870961752626,0.14770957932581952,0.19157783165072706,0.23774779791832146,0.302429316334706,0.19242173728674214,-0.29609204288492563,-0.45922902354754325,0.0,0.0235,0.00025,0.0,0.0
1.25,7.501871186558856,0.913856417950003,0.6350916743811953,0.08256868057793253,0.16673721992303125,0.2232548888488658,0.2826207318996699,0.36808960269469887,0.22438936811712734,-0.36796579305230503,-0.5572580386528873,0.0,0.1105,0.0045,0.956,0.0
1.5,9.579960316644222,0.8885018903068305,0.5549771252158997,0.08149719470376576,0.18372870783179296,0.25353472844874025,0.32692848944499653,0.4338401720932761,0.25551071174388057,-0.4359128209742143,-0.6431653150994517,0.0,0.28075,0.01925,0.9485,0.0
1.75,11.992376594076365,0.8615538677446428,0.4748176473885152,0.07633608676783506,0.19904769231556602,0.282007376694527,0.3707431307178717,0.5005586912972738,0.285370620495517,-0.49994889519414903,-0.7184652089771503,0.0,0.49975,0.066,0.9395,0.0
2.0,14.70341177222187,0.8330630296939494,0.39541477783258094,0.07011158982381087,0.21120202824322287,0.3084038106402718,0.41286541450178393,0.5675294148401515,0.3135501402189524,-0.5616795378997359,-0.784292443746825,0.0,0.6905,0.1445,0.92975,0.0
2.25,17.598859444195213,0.8015320619186179,0.31820192863714303,0.0586374072974896,0.2194405486513219,0.33213565373275544,0.45329457930037476,0.6357821187810982,0.33866936490089644,-0.6189291150163373,-0.842098867794681,0.0,0.7975,0.288,0.91475,0.0
2.5,20.210147079586463,0.7661375096896079,0.24314019805835702,0.038033440838011266,0.2220318998003778,0.3506939276696889,0.4880572982495727,0.7008368198830702,0.35828021433391244,-0.6728555611084039,-0.8870940748886885,0.0,0.88,0.4355,0.88975,1.0
2.75,22.568643511198367,0.7301652157315014,0.19642067862876111,0.019271544367684922,0.21938427511238695,0.3656849622484951,0.5214621605202484,0.7642501422198121,0.37572401348848883,-0.7210997618591233,-0.9183074005971832,0.0,0.93375,0.55575,0.87075,2.0
3.0,24.903885946819685,0.6934054859042108,0.1606268582665887,0.002208772031569234,0.2202830012555766,0.37919828124842114,0.5528564594638876,0.827440334074412,0.3924153967423032,-0.7565734095850097,-0.9362193576641952,0.0,0.971,0.658,0.86025,7.0
