leverage,median_cagr,p05_cagr,prob_deep_drawdown,prob_ruin,mean_leverage
1.0,0.11681595201177808,0.048348180238354944,0.17916666666666667,0.0,1.0
1.05,0.11841379840559807,0.046519407935385185,0.24083333333333334,0.0,1.0499428104009398
1.1,0.1199451675566181,0.04449319146419044,0.31333333333333335,0.0,1.099890669351971
1.1500000000000001,0.12119119485005725,0.042347501519714184,0.38916666666666666,0.0,1.1498454975000105
1.2000000000000002,0.12258103064461601,0.03964884636481166,0.46416666666666667,0.0,1.1998087636077068
1.2500000000000002,0.1238588238981071,0.03704332258287934,0.5366666666666666,0.0,1.2497852931029665
1.3000000000000003,0.12503372321033546,0.034262443068748684,0.6116666666666667,0.0,1.2997744667757098
1.3500000000000003,0.12594818541395858,0.031049385199353467,0.6725,0.0,1.3497840152972485
1.4000000000000004,0.12654020475283767,0.027062883042900557,0.7283333333333334,0.0,1.3998097114360057
1.4500000000000004,0.12702347476603704,0.02286603533938857,0.8008333333333333,0.0,1.4498605124673007
1.5000000000000004,0.12736441148112143,0.019331111169248905,0.8375,0.0,1.4999452946837866
1.5500000000000005,0.12728225822236106,0.015906139590176803,0.8716666666666667,0.0,1.550031297517927
1.6000000000000005,0.1269230976847232,0.012064094083505584,0.9058333333333334,0.0,1.600148072694259
1.6500000000000006,0.126893323176254,0.008120915662445851,0.9325,0.0,1.6503221831006611
1.7000000000000006,0.12613834915360522,0.003308001805134198,0.9491666666666667,0.0,1.7005210352077462
1.7500000000000007,0.12559464681474375,-0.002167401586577955,0.965,0.0,1.750767982040521
1.8000000000000007,0.12451223678388779,-0.007473813532333875,0.9741666666666666,0.0,1.801047784557571
1.8500000000000008,0.12284556155655224,-0.012953879546305763,0.9825,0.0,1.8513409722233443
1.9000000000000008,0.12039327080340145,-0.01882975184477571,0.9866666666666667,0.0,1.9016341727801227
1.9500000000000008,0.1178521767029288,-0.02457031365198733,0.9891666666666666,0.0,1.951913645778286
2.000000000000001,0.115165932347423,-0.031688118857796,0.9933333333333333,0.0,2.0022451398505057
2.0500000000000007,0.11236726612265202,-0.039749755896838046,0.9941666666666666,0.0,2.0525844778423386
2.100000000000001,0.10856801751803324,-0.04672226620222648,0.9941666666666666,0.0,2.1028815102196505
2.1500000000000012,0.1045523486307004,-0.053638778634211945,0.9975,0.0,2.153181091491522
2.200000000000001,0.09996470435425597,-0.061159888781956315,0.9991666666666666,0.0,2.2035513333292247
2.250000000000001,0.0953474618404665,-0.06943805415465686,0.9991666666666666,0.0,2.25392059064926
2.300000000000001,0.0907451031457025,-0.07843224758205448,1.0,0.0,2.304267538919215
2.3500000000000014,0.08632027721555668,-0.08831657249853361,1.0,0.0,2.354543355667685
2.4000000000000012,0.08030390416247979,-0.09912965918869947,1.0,0.0,2.404859163017174
2.450000000000001,0.07468577428762369,-0.10975194365140516,1.0,0.0,2.45504509579039
2.5000000000000013,0.06796450894032158,-0.12146843220681712,1.0,0.0,2.5052446219390565
2.5500000000000016,0.062426651719109216,-0.13137135423702548,1.0,0.0,2.5554640500979424
2.6000000000000014,0.05662567360560844,-0.14143071048089198,1.0,0.0,2.605528387937894
2.6500000000000012,0.050950576003532366,-0.1540080396152335,1.0,0.0,2.6555530016491318
2.7000000000000015,0.04436074516509969,-0.16388461940984173,1.0,0.0,2.705440036527797
2.7500000000000018,0.03953254340858381,-0.1725056977975358,1.0,0.0,2.755165088591565
2.8000000000000016,0.03373619378973802,-0.17942472106392318,1.0,0.0,2.804717768561085
