leverage,terminal_multiple,cagr,vol,sharpe_naive,max_drawdown,calmar,ulcer_index,worst_day,longest_underwater_days,wiped_out,rebalance,interest_paid,interest_pct_of_start,monthly_contribution,liquidation_cost,margin_calls,rebalances,traded_notional,rebalance_cost_paid,ruin_day,ruin_deficit,terminal_net_equity,withdrawals_paid,withdrawal_failures,final_leverage,max_leverage_reached
1.0,108301.24029067457,0.11797981275835223,0.18938019408688947,0.6229786241755669,-0.7812277286136994,0.15101846547063713,24.758138582961895,-0.1807411003453343,4856,False,monthly,3.985063567804529e-08,3.985063567804529e-13,0.0,0.0,0,1248,3.15186771331355e-05,6.303735426627093e-09,-1,0.0,10830124029.067457,0.0,0,1.0,1.0000000000000002
1.25,340100.44177991804,0.1303551752197365,0.2383712451344374,0.5468578021909412,-0.8648556731518362,0.1507247732383794,32.03967237236887,-0.23269351358582568,6200,False,monthly,1579435946.1595995,15794.359461595996,0.0,0.0,0,1248,24704307914.995842,4940861.582999168,-1,0.0,34010044177.991806,0.0,0,1.2641858153462264,1.4717689799390605
1.5,817792.4079770148,0.13993621682473578,0.28850234665814856,0.4850435999764974,-0.9195915043582832,0.15217215052719218,38.94443334618736,-0.2878036890393455,6366,False,monthly,6830189171.44538,68301.8917144538,0.0,0.0,0,1248,123359824146.76631,24671964.829353265,-1,0.0,81779240797.70148,0.0,0,1.5344416145092228,2.146593895877935
1.75,1541263.648172807,0.14690737296090184,0.3402673711137906,0.4317409937956519,-0.9549783642780372,0.15383319502946402,45.05469886398905,-0.346367475632706,7144,False,monthly,17376200855.708748,173762.00855708748,0.0,0.0,0,1248,361304047293.1577,72260809.45863158,-1,0.0,154126364817.2807,0.0,0,1.8109742870132273,3.191859694527013
2.0,2069057.9479165927,0.15016122283597255,0.39376740470396326,0.38134497940190015,-0.9779976048729349,0.15353945867329816,51.03526577044585,-0.4087263897647757,7258,False,monthly,28401624207.003883,284016.24207003886,0.0,145.08314494635155,2,1248,670145881859.7942,134029176.37195885,-1,0.0,206905794791.65927,0.0,0,2.09400553589565,4.0
2.25,2072439.408252063,0.15017929130151986,0.4468207841088765,0.3361063241519351,-0.9895681514564894,0.15176245423872975,55.80527781283197,-0.47531453144558766,7462,False,monthly,32947549619.135532,329475.49619135534,0.0,39113.15246072428,6,1248,870742600163.347,174148520.0326694,-1,0.0,207243940825.2063,0.0,0,2.3837673465639386,4.000000000000001
2.5,1658769.5471418602,0.14771832369239468,0.4982961603464259,0.29644684315788794,-0.9956721062209766,0.14836041179565845,59.6966269603965,-0.5470708331774148,7734,False,monthly,29740958350.657345,297409.58350657346,0.0,2448854.546108492,12,1248,869295051596.571,173859010.31931418,-1,0.0,165876954714.18604,0.0,0,2.68050268694243,4.000000000000001
2.75,892024.7532510724,0.1408894316765148,0.5490710811599451,0.2565959791196389,-0.9983860151835274,0.14111719268284814,64.00987521638942,-0.6239859016145339,8865,False,monthly,17900849664.648758,179008.4966464876,0.0,7429156.094523161,38,1248,572190153846.9781,114438030.7693956,-1,0.0,89202475325.10724,0.0,0,2.9844657550799227,4.000000000000001
3.0,336186.68867089937,0.13022932034749113,0.5956234431536123,0.21864371163427287,-0.9994287629198132,0.1303037546838541,68.54680152385437,-0.706650975717849,9061,False,monthly,7515280782.818522,75152.80782818522,0.0,9725073.50697753,121,1248,258719945766.62152,51743989.15332431,-1,0.0,33618668867.089935,0.0,0,3.295921627516492,4.000000000000001
