build,mu_arith,sigma,full_kelly,half_kelly,p05_optimal,median_optimal,p05_cagr_at_1x,p05_cagr_at_1_5x,median_cagr_at_1_5x
1926-2026 (all),0.10895640962214868,0.18968495894241308,1.5703766068755023,0.7851883034377511,1.0,1.5584813204352812,-0.010674508144159095,-0.05658775803535836,0.1004904569971884
1946-2026 (post-war),0.11847651942719008,0.17496924250181084,2.1305706469854617,1.0652853234927309,1.0,2.1336994641898857,0.01037001493455556,-0.02350285775089987,0.12690864364243737
1970-2026,0.12761124730564052,0.1874467498102079,2.1078597610816536,1.0539298805408268,1.0,2.215117367179445,0.019221630809060475,-0.012169898054833471,0.13446954883234818
1990-2026,0.12301786816119314,0.19652991462045122,1.8233120546881671,0.9116560273440836,1.0,2.225783937454743,0.014019988941146389,-0.017229827263168993,0.1276324640330232
