build,mu_arith,sigma,full_kelly,half_kelly,p05_optimal,median_optimal,p05_cagr_at_1x,p05_cagr_at_1_5x,median_cagr_at_1_5x
"1. as originally shipped (SPY map, in-sample alpha, under-charged)",0.1633321832914219,0.19081036649273986,3.1103259665153096,1.5551629832576548,1.2307424253347965,3.0,0.06113348906642715,0.060787263419911745,0.2074509272510373
2. financing charged for calendar days,0.1633321832914219,0.19081036649273986,2.9901346944416747,1.4950673472208373,1.0,3.0,0.06113348906642715,0.05225249981287923,0.19817457294664242
3. in-sample alpha removed,0.13190158709169847,0.19082570478286354,2.1690091796788495,1.0845045898394248,1.0,2.3071877502019977,0.027507490453150908,0.00321190613734145,0.14334368364397876
"4. factor-built history back to 1926, no residual risk",0.1295157426640024,0.1682938070085063,2.6625809683840513,1.3312904841920257,1.0,2.3526799496822406,0.025299050255423318,-0.00244934636475167,0.14525219917467924
5. idiosyncratic risk restored (the honest build),0.1295157426640024,0.1885171506872527,2.150428529553658,1.075214264776829,1.0,2.1493166235596197,0.01595496038375117,-0.019467095211988177,0.13849637178902108
for reference: honest build with the alpha believed,0.15937922700601648,0.18851353424988446,2.943887135093265,1.4719435675466326,1.0,3.0,0.046423186188697806,0.02618456731912674,0.19108859156996028
