leverage,terminal_multiple,cagr,vol,sharpe_naive,max_drawdown,calmar,ulcer_index,worst_day,longest_underwater_days,wiped_out,rebalance,interest_paid,interest_pct_of_start,monthly_contribution,liquidation_cost,margin_calls,rebalances,traded_notional,rebalance_cost_paid,ruin_day,max_leverage_reached,schedule
1.0,110157.7711531725,0.1181626329950598,0.1885171506872527,0.6268004399827257,-0.7875299305368018,0.15004208527606938,24.342559525233288,-0.18540761761143942,4821,False,daily,0.0,0.0,0.0,0.0,0,26195,0.0,0.0,-1,1.0,daily
1.25,353580.43894430995,0.1307779343679829,0.2356500142472936,0.5549668001748694,-0.8661617069432543,0.15098558770221723,31.320845002275092,-0.23185533922094792,6111,False,daily,1286753598.6122172,12867.535986122171,0.0,0.0,0,26195,112791565065.81218,22558313.01316242,-1,1.325564234789456,daily
1.5,925202.2792787708,0.1412903122866429,0.2827837643856324,0.49964082129540227,-0.9173005961253782,0.15402836636479314,38.051295512359545,-0.2783059672441722,6277,False,daily,5832033900.686248,58320.33900686248,0.0,0.0,0,26195,609643901272.3765,121928780.25447503,-1,1.6930185766930939,daily
1.75,1929784.818789158,0.14939043652780315,0.3299180237376838,0.452810776553944,-0.9498233286650213,0.15728234085150522,43.957423378052546,-0.3247595816380754,6634,False,daily,16363540038.917135,163635.40038917135,0.0,0.0,0,26195,1975059610011.6416,395011922.00232744,-1,2.1110018093623366,daily
2.0,3153280.3257833477,0.1548328075139418,0.3770526405238409,0.41063976451360185,-0.9710829230780078,0.15944344590385096,49.297427386162845,-0.3712181164749585,7186,False,daily,32701707430.492935,327017.07430492935,0.0,0.0,0,26195,4471135288225.904,894227057.6451821,-1,2.5907112337529097,daily
2.25,4005886.024802293,0.1574946540066693,0.42418750233672226,0.37128546489247866,-0.9838615288659882,0.1600780693073747,53.97203076459606,-0.4176802360685634,7264,False,daily,48461948488.167114,484619.48488167115,0.0,0.0,0,26195,7405596747018.359,1481119349.403669,-1,3.146903469619629,daily
2.5,3935127.466509361,0.15729622350281636,0.47132250862840863,0.3337337398983186,-0.9926662380895076,0.1584583190877427,58.04513973153915,-0.4641488251851955,7447,False,daily,54081346594.978485,540813.4659497848,0.0,0.0,0,26195,9142300780975.33,1828460156.1950653,-1,3.799472281765774,daily
2.75,2955846.7205711254,0.15411470016783513,0.5184599387376783,0.2972547899131152,-0.9969843940958965,0.15458085510715766,61.81212485010006,-0.5108506692071888,7657,False,daily,45443158447.40021,454431.58447400207,0.0,374586.0430591983,2,26195,8426909866653.507,1685381973.330701,-1,4.000000000000001,daily
3.0,1680586.0313988745,0.1478626026590828,0.5656008794754369,0.2614256943804915,-0.9988437118267235,0.14803377235930737,65.35806849838895,-0.5576426894576548,8383,False,daily,28664786943.13026,286647.8694313026,0.0,4074642.811149068,3,26195,5785110291087.237,1157022058.217447,-1,4.000000000000001,daily
1.0,110157.7711531725,0.1181626329950598,0.1885171506872527,0.6268004399827257,-0.7875299305368018,0.15004208527606938,24.342559525233288,-0.18540761761143942,4821,False,weekly,0.0,0.0,0.0,0.0,0,5239,0.0,0.0,-1,1.0,weekly
1.25,361661.6042199521,0.13102378770177658,0.23604581679488698,0.5550777788857417,-0.8662092468698709,0.15126112792635665,31.257671287116217,-0.2318437318691755,6111,False,weekly,1305099114.5173209,13050.99114517321,0.0,0.0,0,5239,50447371340.92313,10089474.268184632,-1,1.3338949452674627,weekly
1.5,974843.9766845941,0.1418642949099007,0.28379550238664625,0.49988211129795557,-0.9174669606729183,0.15462605302522284,37.93238060156252,-0.2782782320766557,6276,False,weekly,6047943819.599092,60479.438195990915,0.0,0.0,0,5239,276564518453.5521,55312903.6907104,-1,1.7157741944663025,weekly
1.75,2106062.013633721,0.15035737799880455,0.3318041923477123,0.4531509289708986,-0.9506750689465703,0.15815853692830448,43.79242216098334,-0.32471101190711826,6634,False,weekly,17432596373.27333,174325.9637327333,0.0,0.0,0,5239,912559240904.6829,182511848.1809366,-1,2.156810983947685,weekly
2.0,3575597.6655010735,0.15623001630366296,0.3801164014869045,0.4110057227010902,-0.9720733734829935,0.16071833728341106,49.0981087779633,-0.3711443170931261,7186,False,weekly,35865174538.163506,358651.74538163503,0.0,0.0,0,5239,2108461208551.0972,421692241.7102198,-1,2.671923998732882,weekly
2.25,4721323.323541385,0.15932589855595003,0.4287848922819329,0.37157535497120714,-0.9847340203478965,0.16179587103090215,53.7870138413863,-0.41757764383912144,7265,False,weekly,54667392943.20464,546673.9294320465,0.0,0.0,0,5239,3562314430882.242,712462886.176449,-1,3.2814875827357035,weekly
2.5,4808617.804686741,0.15953024385950432,0.47787403930115313,0.3338332504791485,-0.9926949291874885,0.16070419941610695,57.79375698493318,-0.4640124921929072,7450,False,weekly,62496669458.14876,624966.6945814876,0.0,5.442734874617075,1,5239,4470764134867.031,894152826.9734067,-1,3.9999999999999996,weekly
2.75,3536922.9664703733,0.1561090564259453,0.5268720568691017,0.2962940516405669,-0.997133238042526,0.15655787057344842,61.62459630578894,-0.5107302677446276,7713,False,weekly,50719726548.41825,507197.2654841825,0.0,223802.73777245954,5,5239,3952953839932.985,790590767.9865973,-1,4.000000000000001,weekly
3.0,1759881.2265048455,0.14837182179331632,0.5757129904337709,0.2577183844358377,-0.9990069771797849,0.1485193048522771,65.66989714162095,-0.5575594721435848,8573,False,weekly,27575905717.811478,275759.0571781148,0.0,9033580.016622316,17,5239,2318107594767.242,463621518.9534486,-1,4.000000000000001,weekly
1.0,110157.7711531725,0.1181626329950598,0.1885171506872527,0.6268004399827257,-0.7875299305368018,0.15004208527606938,24.342559525233288,-0.18540761761143942,4821,False,monthly,0.0,0.0,0.0,0.0,0,1248,0.0,0.0,-1,1.0,monthly
1.25,360802.4482666013,0.13099790945380985,0.237286042762194,0.5520674875306291,-0.8695819166173965,0.15064470287443552,31.376354680431024,-0.2386075732518762,6115,False,monthly,1293670115.7218037,12936.701157218036,0.0,0.0,0,1248,25957528531.76188,5191505.706352376,-1,1.4718940345205416,monthly
1.5,960154.3300988396,0.14169751873436498,0.287183580548552,0.4934039699056167,-0.9228297181538563,0.15354676593839475,38.22561990914297,-0.29499560618259435,6281,False,monthly,5913414483.187371,59134.14483187371,0.0,0.0,0,1248,141601380585.98044,28320276.11719609,-1,2.1470409915998583,monthly
1.75,2009614.3437333934,0.1498387248293398,0.3387112830827937,0.4423789000046793,-0.9561990857664919,0.15670243473327383,44.3055693608608,-0.3548684580091094,6852,False,monthly,16511889871.762804,165118.89871762804,0.0,0.0,0,1248,456293507349.9433,91258701.4699887,-1,3.193127057028463,monthly
2.0,2960094.0118231284,0.15413064252039788,0.3919794649222037,0.3932110131100573,-0.9780479828813368,0.1575900622649697,50.41685955212883,-0.41856427157137077,7232,False,monthly,29491701378.21623,294917.0137821623,0.0,143.2040341257353,2,1248,922021640747.5955,184404328.1495191,-1,4.0,monthly
2.25,3217737.021650695,0.1550576340598928,0.44469497261501595,0.3486831280058798,-0.9896155384672678,0.15668472051282514,55.39605293237585,-0.4865417025872617,7366,False,monthly,37052979064.07484,370529.79064074834,0.0,49928.327218426304,6,1248,1292548209711.9902,258509641.94239804,-1,4.000000000000001,monthly
2.5,2739194.354350786,0.1532698526883598,0.49589561544386573,0.3090768458421863,-0.9951966522887956,0.15400961441727448,59.42846877246981,-0.5596785826617234,7713,False,monthly,35502369049.83456,355023.6904983456,0.0,3445764.6879854915,12,1248,1365286676200.0894,273057335.24001783,-1,4.000000000000001,monthly
2.75,1521005.967955736,0.1467614023381245,0.5463599311233941,0.2686167011485672,-0.9981438890198444,0.14703431434343703,63.340284327928494,-0.6379848417952791,8569,False,monthly,21994975708.958332,219949.75708958332,0.0,10704342.73902797,34,1248,922564242902.5496,184512848.58050978,-1,4.000000000000001,monthly
