statistic,horizon_years,1.0,1.25,1.5,1.75,2.0,2.25,2.5,2.75,3.0
cagr_p05,10,0.012322284589454715,-0.004500462763041825,-0.0233339806885002,-0.04441309765028995,-0.0700259837436578,-0.09854973460086826,-0.13095042514802524,-0.1652572191224561,-0.20039653601252364
cagr_median,10,0.1174159149541879,0.12760580346612904,0.13614617331915668,0.14281279045868434,0.1471311234755699,0.1479160625264413,0.1446288166719878,0.13877524846265998,0.13017708623834257
median_max_drawdown,10,-0.3421410650656982,-0.4249870597200845,-0.5023125563406218,-0.5727715181165505,-0.6382638056446356,-0.6987239243821107,-0.752358927270472,-0.7985385197266106,-0.8352652536365266
prob_dd_over_70,10,0.004,0.026,0.08775,0.20225,0.34625,0.49675,0.625,0.733,0.8115
cagr_p05,20,0.04438676962480697,0.03559550992316844,0.024528381605592023,0.010210845964375714,-0.008504768242207372,-0.030315059380571947,-0.05543900479174599,-0.0855522406191101,-0.11112458771657067
cagr_median,20,0.11779926572106514,0.12883052274273732,0.13833768628548815,0.14491089774726118,0.1486677878467928,0.14934019171964208,0.14564544595344664,0.13821686796179133,0.12820744385538263
median_max_drawdown,20,-0.4043369101236589,-0.5001016130815548,-0.5859433289207796,-0.6625673592174335,-0.7311189704865547,-0.7906467456543413,-0.8404579382759795,-0.8816255449358746,-0.9107660167476599
prob_dd_over_70,20,0.00975,0.06725,0.192,0.39225,0.592,0.75425,0.8565,0.926,0.96125
cagr_p05,30,0.058249192526631605,0.0530838008120655,0.04602452450832624,0.03541813082589747,0.02123214450207046,0.002813821052950927,-0.018385179511244076,-0.04565986596593671,-0.07109105986367664
cagr_median,30,0.11846629105044792,0.1299008791945494,0.13908991413426908,0.1457004171227242,0.14967737755851718,0.14970871743141523,0.1461967161817831,0.13757059532684413,0.12829643037228
median_max_drawdown,30,-0.4407712032111929,-0.5416479995906144,-0.6304685375180576,-0.710233989662154,-0.7788757452604989,-0.8372019150871873,-0.8820117896592983,-0.918738431010586,-0.9427647431949673
prob_dd_over_70,30,0.01675,0.103,0.291,0.53425,0.74475,0.88575,0.94975,0.98375,0.99325
cagr_p05,40,0.06543329746520009,0.062094493236424735,0.056465762649310004,0.04885842512993258,0.036825847486681815,0.019285068819518015,-0.0007547173439343282,-0.02497153994571149,-0.04726516548151418
cagr_median,40,0.1184679336344292,0.13008227751459267,0.1397513017637071,0.14692955024101706,0.15101406516954785,0.15138800131373886,0.1481062226667953,0.14059514866646794,0.1310871876497114
median_max_drawdown,40,-0.46520746336009394,-0.5692350456953534,-0.6602395372023157,-0.738928166179037,-0.8071977655254304,-0.8623674357300287,-0.9045822819063554,-0.9373729799438475,-0.9581817421184248
prob_dd_over_70,40,0.0215,0.1315,0.36725,0.63475,0.83925,0.9385,0.97775,0.99325,0.9985
