leverage,terminal_multiple,cagr,vol,sharpe_naive,max_drawdown,calmar,ulcer_index,worst_day,longest_underwater_days,wiped_out,rebalance,interest_paid,interest_pct_of_start,monthly_contribution,liquidation_cost,margin_calls,rebalances,traded_notional,rebalance_cost_paid,ruin_day,max_leverage_reached
1.0,2452585.282507989,0.1520443122214159,0.18851353424988448,0.8065432162545596,-0.7629945635520213,0.19927312655229612,19.14059009004687,-0.1852754088467462,1956,False,monthly,0.0,0.0,0.0,0.0,0,1248,0.0,0.0,-1,1.0
1.25,17992765.77819408,0.17434357924397315,0.23720824363334936,0.7349811143724602,-0.8501927932782666,0.20506358160449709,24.561625292327413,-0.23840271637190302,4421,False,monthly,60104693291.14742,601046.9329114743,0.0,0.0,0,1248,1238865248199.746,247773049.63994914,-1,1.4701989420282797
1.5,108069815.3909848,0.1947732590834108,0.28699605102932474,0.6786618087072885,-0.9085584483512551,0.21437614656147042,30.44124511069521,-0.2946989060764357,4617,False,monthly,633471578926.0826,6334715.789260826,0.0,0.0,0,1248,15376368292092.992,3075273658.4185987,-1,2.14096972127709
1.75,514844223.9375047,0.2128516550174877,0.33836868534794684,0.6290524632875258,-0.9463874865823754,0.2249096253228626,35.88451899073443,-0.35446150965539114,4801,False,monthly,4072965862807.003,40729658.62807003,0.0,0.0,0,1248,113497888813381.92,22699577762.67638,-1,3.1759812515949366
2.0,1745285116.7012687,0.22717980901559764,0.3914593571706135,0.5803407297697669,-0.9721569718826142,0.23368634447547748,41.28866072549357,-0.4180202114496233,5975,False,monthly,16864093690168.959,168640936.9016896,0.0,174.44821648328846,2,1248,530342394902499.0,106068478980.49985,-1,3.9999999999999996
2.25,4393164622.979484,0.23812652729291583,0.443997476137315,0.5363240560837569,-0.9859598035903263,0.24151748015059973,46.70138828164081,-0.4858250084201725,6206,False,monthly,49286044759009.05,492860447.59009045,0.0,7888993.29121287,6,1248,1727517647372705.0,345503529474.541,-1,4.000000000000001
2.5,8771520177.219257,0.24638994423361593,0.49497582784484284,0.4977817710945884,-0.9930161954725625,0.24812278526470802,51.0940234379483,-0.5587532723754163,6362,False,monthly,111035815613167.23,1110358156.1316724,0.0,10803312872.314224,11,1248,4288745595249442.0,857749119049.8882,-1,4.000000000000001
2.75,11615996686.53983,0.24976229707371367,0.5451981095499693,0.458112918402961,-0.9965476311814567,0.25062755583253765,54.889987253617115,-0.6368012522690689,6878,False,monthly,163735638574141.9,1637356385.741419,0.0,77279961366.31961,33,1248,6908060773108895.0,1381612154621.779,-1,4.000000000000001
3.0,9850940407.55051,0.24778229643885874,0.5918288230042732,0.41867223563234546,-0.9982133949523878,0.24822577786654257,58.74451476726024,-0.7205276855292403,7200,False,monthly,153864968940118.5,1538649689.401185,0.0,218398053916.2804,115,1248,6987250752865274.0,1397450150573.0547,-1,4.000000000000001
